	JASPAR2018_vertebrates	IMAGE	HOMER	ENCODE	RSAT_vertebrates	HOCOMOCOv11_HUMAN	factorbook	SwissRegulon	gimme.vertebrate.v5.0
TAL1	0.0638	0.041	0.0658	0.0634	0.0776	0.056	0.0616	0.0526	0.0468
ELL2	0.1696	0.2074	0.1934	0.211	0.2094	0.211	0.1832	0.1934	0.2158
FOSL2	0.6614	0.659	0.6584	0.6546	0.6038	0.6496	0.6452	0.6314	0.6532
L3MBTL2	0.1911	0.2197	0.1953	0.1946	0.1908	0.14400000000000002	0.1368	0.1867	0.2262
HEXIM1	0.5322	0.6646	0.5316	0.895	0.8936	0.7856	0.8828	0.8118	0.8936
XBP1	0.0126	0.0098	0.0078	0.0118	0.0092	0.0076	0.0144	0.0118	0.012
JUN	0.4370000000000001	0.4384	0.4356	0.4294	0.3936	0.4320000000000001	0.4320000000000001	0.4106	0.4372
KDM1A	0.0282	0.0292	0.027000000000000003	0.0342	0.0292	0.0368	0.0942	0.027000000000000003	0.0962
TFAP2C	0.476	0.5312	0.4928	0.5082	0.5382	0.4852	0.5154	0.5082	0.5546
FANCL	0.7408	0.8588	0.746	0.9224	0.9238	0.8536	0.895	0.9106	0.9214
KDM4C	0.2486	0.3916	0.1938	0.5462	0.5462	0.3752	0.5246	0.428	0.5462
RELB	0.3332	0.3954	0.3456	0.3786	0.3918	0.3808	0.3972	0.3896	0.4036
BACH2	0.4252	0.413	0.4374	0.4248	0.256	0.4416	0.418	0.4176	0.4370000000000001
JARID2	0.2528	0.342	0.2114	0.506	0.506	0.3636	0.4592	0.3936	0.4932
EPAS1	0.4763	0.486	0.4855	0.4763	0.4717	0.4922	0.1153	0.4927	0.4373
CBX2	0.0306	0.0346	0.027000000000000003	0.0626	0.0626	0.0292	0.0612	0.0388	0.0626
MYB	0.1518	0.1404	0.141	0.1534	0.13699999999999998	0.1406	0.1748	0.1336	0.1392
BMPR1A	0.2946	0.34700000000000003	0.2866	0.4408	0.4408	0.34700000000000003	0.3208	0.34700000000000003	0.4054
